案例编号,标题,事故类型,地点,状态,提交时间,优先级,复核人,天气,道路环境,描述
ACC-20260110-0073,山东省济宁市曲阜市曲阜市王庄镇G327国道K578段开门杀事故,开门杀事故,山东省济宁市曲阜市曲阜市王庄镇G327国道K578段,待分析,2026-01-10 21:55:04,中,,霾,环城路，双向四车道，夜间货车多,上午10时许，在山东省济宁市曲阜市曲阜市王庄镇G327国道K578段，出租车（A车，鲁H·B75185）停车后驾驶员开门未观察后方，致使后方驶来的小型轿车（B车，鲁H·F35081）躲避不及撞上车门。事故造成小型轿车（B车，鲁H·F35081）驾驶员受伤倒地。
ACC-20260112-0035,陕西省延安市安塞区安塞区建华镇中学门口停车场事故,停车场事故,陕西省延安市安塞区安塞区建华镇中学门口,已完成,2026-01-12 23:25:13,中,李明辉,中雨,省道三级公路，路面宽7米，夜间照明不足,下午2时许，在陕西省延安市安塞区安塞区建华镇中学门口，出租车（A车，陕J·V55088）在寻找车位时，不慎剐蹭到已停放的小型轿车（B车，陕J·Z95066）。事故造成两车车身轻微损伤。
ACC-20260113-0077,山东省济宁市曲阜市曲阜市吴村镇中心街十字路口货车侧翻,货车侧翻,山东省济宁市曲阜市曲阜市吴村镇中心街十字路口,处理中,2026-01-13 18:57:52,中,王守义,晴,商业街区，人行横道密集，非机动车混行,上午7时50分许，在山东省济宁市曲阜市曲阜市吴村镇中心街十字路口，货车（A车，鲁H·U93599）在弯道行驶时因车速过快且判断失误，车辆重心偏移发生侧翻。事故造成车辆及所载货物受损，道路通行受阻。
ACC-20260114-0039,陕西省延安市安塞区安塞区真武洞镇后街菜市场门口桥梁事故,桥梁事故,陕西省延安市安塞区安塞区真武洞镇后街菜市场门口,已完成,2026-01-14 12:25:23,低,陈志远,小雨,高速公路出口匝道，单车道，弯道半径较小,清晨6时40分许，在陕西省延安市安塞区安塞区真武洞镇后街菜市场门口，路面因天气原因湿滑，货车（A车，陕J·S16597）行驶至桥梁路段时车辆打滑，与桥面护栏发生碰撞。
ACC-20260114-0033,陕西省延安市安塞区安塞区坪桥镇煤矿专用道路非机动车碰撞,非机动车碰撞,陕西省延安市安塞区安塞区坪桥镇煤矿专用道路,处理中,2026-01-14 18:17:32,高,赵文博,多云,省道三级公路，路面宽7米，夜间照明不足,下午1时15分许，在陕西省延安市安塞区安塞区坪桥镇煤矿专用道路，摩托车（A车，陕J·G262CD）与电动自行车（B车，陕J·F763RQ）在混合车道内行驶时，因刹车失灵发生碰撞。事故造成受伤倒地。
ACC-20260115-0057,山东省济宁市曲阜市曲阜市小雪街道高铁东路段闯红灯事故,闯红灯事故,山东省济宁市曲阜市曲阜市小雪街道高铁东路段,处理中,2026-01-15 08:46:11,中,陈志远,小雪,国道一级公路，双向六车道，中央隔离带，限速80km/h,中午12时30分许，在山东省济宁市曲阜市曲阜市小雪街道高铁东路段路口，SUV（A车，鲁H·A46305）违反交通信号灯指示闯红灯，与正常通行的货车（B车，鲁H·Z330SE）发生碰撞。事故造成左侧车身凹陷。
ACC-20260116-0104,山东省济宁市曲阜市曲阜市有朋路与大成路交叉口变道碰撞,变道碰撞,山东省济宁市曲阜市曲阜市有朋路与大成路交叉口,处理中,2026-01-16 15:20:02,低,王守义,小雨,环城路，双向四车道，夜间货车多,上午10时许，在山东省济宁市曲阜市曲阜市有朋路与大成路交叉口，货车（A车，鲁H·C49633）由西向西变道时，未观察后方来车，与正常行驶的电动自行车（B车，鲁H·H767MA）发生侧面碰撞。事故造成前保险杠脱落。
ACC-20260116-0016,陕西省延安市安塞区安塞区高桥镇农贸市场路段桥梁事故,桥梁事故,陕西省延安市安塞区安塞区高桥镇农贸市场路段,处理中,2026-01-16 19:47:32,中,陈志远,多云,乡镇街道，混合交通，无隔离设施,下午5时10分许，在陕西省延安市安塞区安塞区高桥镇农贸市场路段，路面因天气原因湿滑，摩托车（A车，陕J·K42921）行驶至桥梁路段时车辆打滑，与桥面护栏发生碰撞。
ACC-20260116-0089,山东省济宁市曲阜市曲阜市鼓楼南街与逵泉路交叉口爆胎失控,爆胎失控,山东省济宁市曲阜市曲阜市鼓楼南街与逵泉路交叉口,处理中,2026-01-16 23:12:19,低,张建国,阴,开发区主干道，货车与轿车混行，交叉口多,下午2时许，在山东省济宁市曲阜市曲阜市鼓楼南街与逵泉路交叉口，小型轿车（A车，鲁H·Y53030）行驶途中右前轮突然爆胎，车辆失控撞向路边的防护栏。事故造成车辆右侧车门凹陷。
ACC-20260117-0059,山东省济宁市曲阜市曲阜市小雪街道高铁东路段多车连环碰撞,多车连环碰撞,山东省济宁市曲阜市曲阜市小雪街道高铁东路段,待处理,2026-01-17 13:16:47,中,,霾,高铁站前道路，交通流量大，有公交专用道,傍晚6时许，在山东省济宁市曲阜市曲阜市小雪街道高铁东路段，因避让前方障碍物，小型轿车（A车，鲁H·L83336）首先与小型轿车（B车，鲁H·U18642）发生碰撞，后方小型轿车（C车，鲁H·H210DJ）等车辆避让不及，陆续发生追尾，形成多车连环碰撞事故。共涉及4辆车，无人员伤亡。
ACC-20260117-0022,陕西省延安市安塞区安塞区坪桥镇加油站出口追尾事故,追尾事故,陕西省延安市安塞区安塞区坪桥镇加油站出口,已完成,2026-01-17 14:57:00,高,赵文博,多云,城区十字路口，有交通信号灯，人车混行,下午3时45分许，在陕西省延安市安塞区安塞区坪桥镇加油站出口，电动自行车（A车，陕J·P84624）沿道路正常行驶，摩托车（B车，陕J·L81545）因刹车失灵未能保持安全距离，追尾碰撞电动自行车（A车，陕J·P84624）尾部。事故造成两车不同程度受损，驾驶员受轻微擦伤。
ACC-20260118-0065,山东省济宁市曲阜市曲阜市王庄镇G327国道K578段酒驾事故,酒驾事故,山东省济宁市曲阜市曲阜市王庄镇G327国道K578段,处理中,2026-01-18 14:57:19,高,李明辉,霾,开发区主干道，货车与轿车混行，交叉口多,下午4时许，在山东省济宁市曲阜市曲阜市王庄镇G327国道K578段，摩托车（A车，鲁H·Z981UR）驾驶员涉嫌酒后驾驶，车辆失控与电动自行车（B车，鲁H·P518VA）发生碰撞。经检测摩托车（A车，鲁H·Z981UR）驾驶员血液酒精含量超标。事故造成轻微受损。
ACC-20260118-0010,陕西省延安市安塞区安塞区建华镇中学门口闯红灯事故,闯红灯事故,陕西省延安市安塞区安塞区建华镇中学门口,已完成,2026-01-18 21:49:29,中,陈志远,霾,隧道入口段，照明过渡，限速40km/h,中午12时30分许，在陕西省延安市安塞区安塞区建华镇中学门口路口，货车（A车，陕J·L57701）违反交通信号灯指示闯红灯，与正常通行的面包车（B车，陕J·T986RQ）发生碰撞。事故造成左侧车身凹陷。
ACC-20260119-0049,陕西省延安市安塞区安塞区包茂高速安塞出口匝道匝道事故,匝道事故,陕西省延安市安塞区安塞区包茂高速安塞出口匝道,已完成,2026-01-19 15:54:34,中,张建国,阴,省道三级公路，路面宽7米，夜间照明不足,晚上8时许，在陕西省延安市安塞区安塞区包茂高速安塞出口匝道，SUV（A车，陕J·B18043）驶出匝道时速度过快，与匝道口的防护栏发生碰撞。事故造成车辆受损。
ACC-20260119-0085,山东省济宁市曲阜市曲阜市有朋路与大成路交叉口开门杀事故,开门杀事故,山东省济宁市曲阜市曲阜市有朋路与大成路交叉口,处理中,2026-01-19 21:53:41,高,李明辉,小雨,城市主干道，双向四车道，沥青路面，限速50km/h,清晨6时40分许，在山东省济宁市曲阜市曲阜市有朋路与大成路交叉口，摩托车（A车，鲁H·P49495）停车后驾驶员开门未观察后方，致使后方驶来的出租车（B车，鲁H·X14587）躲避不及撞上车门。事故造成出租车（B车，鲁H·X14587）驾驶员受伤倒地。
ACC-20260123-0040,陕西省延安市安塞区安塞区高桥镇农贸市场路段爆胎失控,爆胎失控,陕西省延安市安塞区安塞区高桥镇农贸市场路段,待分析,2026-01-23 06:21:17,中,,小雪,山路弯道，一侧临崖，水泥路面,下午4时许，在陕西省延安市安塞区安塞区高桥镇农贸市场路段，货车（A车，陕J·K11742）行驶途中右前轮突然爆胎，车辆失控撞向电线杆。事故造成车辆轻微受损。
ACC-20260124-0043,陕西省延安市安塞区安塞区招安镇河滨路闯红灯事故,闯红灯事故,陕西省延安市安塞区安塞区招安镇河滨路,处理中,2026-01-24 06:41:05,中,王守义,霾,山路弯道，一侧临崖，水泥路面,中午11时许，在陕西省延安市安塞区安塞区招安镇河滨路路口，电动自行车（A车，陕J·F284UZ）违反交通信号灯指示闯红灯，与正常通行的电动自行车（B车，陕J·Q37574）发生碰撞。事故造成车身多处刮擦。
ACC-20260124-0008,陕西省延安市安塞区安塞区高桥镇农贸市场路段坠物事故,坠物事故,陕西省延安市安塞区安塞区高桥镇农贸市场路段,待处理,2026-01-24 12:48:50,中,,小雨,农村四级公路，路面宽5米，无标线,夜间23时许，在陕西省延安市安塞区安塞区高桥镇农贸市场路段，前方货车SUV（A车，陕J·Q88346）运载的货物未固定牢固，途中坠落砸中后方出租车（B车，陕J·B95605）。事故造成出租车（B车，陕J·B95605）车顶受损。
ACC-20260126-0058,山东省济宁市曲阜市曲阜市时庄街道开发区主干道变道碰撞,变道碰撞,山东省济宁市曲阜市曲阜市时庄街道开发区主干道,处理中,2026-01-26 11:29:13,中,张建国,中雨,商业街区，人行横道密集，非机动车混行,上午7时50分许，在山东省济宁市曲阜市曲阜市时庄街道开发区主干道，面包车（A车，鲁H·R165YB）由北向西变道时，未观察后方来车，与正常行驶的出租车（B车，鲁H·Z30110）发生侧面碰撞。事故造成前保险杠脱落。
ACC-20260126-0064,山东省济宁市曲阜市曲阜市尼山镇圣源大道开门杀事故,开门杀事故,山东省济宁市曲阜市曲阜市尼山镇圣源大道,处理中,2026-01-26 18:45:37,高,王守义,霾,景区周边道路，旅游车辆密集，路边临时停车多,中午11时许，在山东省济宁市曲阜市曲阜市尼山镇圣源大道，小型轿车（A车，鲁H·V457FV）停车后驾驶员开门未观察后方，致使后方驶来的货车（B车，鲁H·M643HK）躲避不及撞上车门。事故造成货车（B车，鲁H·M643HK）驾驶员受伤倒地。
ACC-20260127-0013,陕西省延安市安塞区安塞区坪桥镇加油站出口单车事故,单车事故,陕西省延安市安塞区安塞区坪桥镇加油站出口,待分析,2026-01-27 08:02:31,低,,霾,省道三级公路，路面宽7米，夜间照明不足,中午12时30分许，在陕西省延安市安塞区安塞区坪桥镇加油站出口，出租车（A车，陕J·W771BV）行驶途中因操作不当，车辆失控撞向路中间的隔离墩，造成车辆车头严重变形。
ACC-20260127-0021,陕西省延安市安塞区安塞区真武洞镇鼓楼环岛制动失效,制动失效,陕西省延安市安塞区安塞区真武洞镇鼓楼环岛,已完成,2026-01-27 20:12:19,低,陈志远,小雨,隧道入口段，照明过渡，限速40km/h,上午9时15分许，在陕西省延安市安塞区安塞区真武洞镇鼓楼环岛，小型轿车（A车，陕J·W164GD）刹车系统突然失效，无法减速，追尾前方等候信号灯的小型轿车（B车，陕J·M859QS）。事故造成车身多处刮擦。
ACC-20260128-0017,陕西省延安市安塞区安塞区真武洞镇鼓楼环岛非机动车碰撞,非机动车碰撞,陕西省延安市安塞区安塞区真武洞镇鼓楼环岛,已完成,2026-01-28 22:15:30,中,张建国,小雪,乡镇街道，混合交通，无隔离设施,晚上9时30分许，在陕西省延安市安塞区安塞区真武洞镇鼓楼环岛，小型轿车（A车，陕J·W897UL）与面包车（B车，陕J·G509KF）在混合车道内行驶时，因避让前方障碍物发生碰撞。事故造成受伤倒地。
ACC-20260129-0061,山东省济宁市曲阜市曲阜市时庄街道开发区主干道货车侧翻,货车侧翻,山东省济宁市曲阜市曲阜市时庄街道开发区主干道,待处理,2026-01-29 08:31:23,高,,多云,乡镇中心道路，赶集日人车密集，无信号灯,晚上9时30分许，在山东省济宁市曲阜市曲阜市时庄街道开发区主干道，货车（A车，鲁H·T776DB）在弯道行驶时因车速过快且疲劳驾驶，车辆重心偏移发生侧翻。事故造成车辆及所载货物受损，道路通行受阻。
ACC-20260129-0068,山东省济宁市曲阜市曲阜市滨河路与大成桥交汇处单车事故,单车事故,山东省济宁市曲阜市曲阜市滨河路与大成桥交汇处,处理中,2026-01-29 21:31:24,中,赵文博,小雨,学校路段，限速30km/h，有减速带,晚上8时许，在山东省济宁市曲阜市曲阜市滨河路与大成桥交汇处，小型轿车（A车，鲁H·F492FR）行驶途中因未观察后方来车，车辆失控撞向路侧的树木，造成车辆车头严重变形。
ACC-20260130-0028,陕西省延安市安塞区安塞区镰刀湾乡三岔路口匝道事故,匝道事故,陕西省延安市安塞区安塞区镰刀湾乡三岔路口,已完成,2026-01-30 16:35:52,高,陈志远,霾,城市主干道，双向四车道，沥青路面，限速60km/h,中午11时许，在陕西省延安市安塞区安塞区镰刀湾乡三岔路口，面包车（A车，陕J·T208RT）驶出匝道时速度过快，与匝道口的防护栏发生碰撞。事故造成车辆受损。
ACC-20260131-0020,陕西省延安市安塞区安塞区化子坪镇幼儿园路段正面碰撞,正面碰撞,陕西省延安市安塞区安塞区化子坪镇幼儿园路段,处理中,2026-01-31 13:42:34,高,张建国,多云,乡镇街道，混合交通，无隔离设施,中午12时30分许，在陕西省延安市安塞区安塞区化子坪镇幼儿园路段，摩托车（A车，陕J·P653RF）因路面湿滑驶入对向车道，与迎面驶来的出租车（B车，陕J·B35606）发生正面碰撞。事故造成两车车头严重损毁，副驾驶乘客受轻微伤。
ACC-20260201-0027,陕西省延安市安塞区安塞区镰刀湾乡三岔路口追尾事故,追尾事故,陕西省延安市安塞区安塞区镰刀湾乡三岔路口,处理中,2026-02-01 14:09:41,中,李明辉,晴,隧道入口段，照明过渡，限速40km/h,上午11时20分许，在陕西省延安市安塞区安塞区镰刀湾乡三岔路口，公交车（A车，陕J·T939NW）沿道路正常行驶，面包车（B车，陕J·D635ZZ）因刹车失灵未能保持安全距离，追尾碰撞公交车（A车，陕J·T939NW）尾部。事故造成两车不同程度受损，副驾驶乘客受轻微伤。
ACC-20260205-0045,陕西省延安市安塞区安塞区招安镇街道十字路口隧道事故,隧道事故,陕西省延安市安塞区安塞区招安镇街道十字路口,待分析,2026-02-05 07:01:36,低,,小雨,国道二级公路，双向两车道，路面有轻微坑槽,上午7时50分许，在陕西省延安市安塞区安塞区招安镇街道十字路口，公交车（A车，陕J·U941VQ）进入隧道时因光线变化未能及时适应，追尾前方公交车（B车，陕J·M579JT）。事故造成两车受损。
ACC-20260205-0019,陕西省延安市安塞区安塞区坪桥镇加油站出口隧道事故,隧道事故,陕西省延安市安塞区安塞区坪桥镇加油站出口,已完成,2026-02-05 16:44:21,中,张建国,多云,隧道入口段，照明过渡，限速40km/h,中午12时30分许，在陕西省延安市安塞区安塞区坪桥镇加油站出口，小型轿车（A车，陕J·D143AQ）进入隧道时因光线变化未能及时适应，追尾前方摩托车（B车，陕J·C479UK）。事故造成两车受损。
ACC-20260205-0093,山东省济宁市曲阜市曲阜市尼山镇圣源大道停车场事故,停车场事故,山东省济宁市曲阜市曲阜市尼山镇圣源大道,处理中,2026-02-05 18:01:01,中,张建国,小雪,城市主干道，双向四车道，沥青路面，限速50km/h,晚上9时30分许，在山东省济宁市曲阜市曲阜市尼山镇圣源大道，电动自行车（A车，鲁H·Z361PL）在寻找车位时，不慎剐蹭到已停放的电动自行车（B车，鲁H·G47589）。事故造成两车车身轻微损伤。
ACC-20260207-0047,陕西省延安市安塞区安塞区化子坪镇幼儿园路段侧碰事故,侧碰事故,陕西省延安市安塞区安塞区化子坪镇幼儿园路段,处理中,2026-02-07 07:02:56,中,赵文博,小雨,城区十字路口，有交通信号灯，人车混行,上午8时30分许，在陕西省延安市安塞区安塞区化子坪镇幼儿园路段，面包车（A车，陕J·W357DC）在通过路口时，货车（B车，陕J·Z203WX）从北方向驶来，两车在路口中央发生侧面碰撞。事故造成面包车（A车，陕J·W357DC）右侧车门严重变形，无人员伤亡。
ACC-20260207-0090,山东省济宁市曲阜市曲阜市滨河路与大成桥交汇处多车连环碰撞,多车连环碰撞,山东省济宁市曲阜市曲阜市滨河路与大成桥交汇处,已完成,2026-02-07 20:16:00,中,李明辉,阴,环城路，双向四车道，夜间货车多,晚上9时30分许，在山东省济宁市曲阜市曲阜市滨河路与大成桥交汇处，因判断失误，公交车（A车，鲁H·E131LD）首先与出租车（B车，鲁H·P347AX）发生碰撞，后方货车（C车，鲁H·Z80730）等车辆避让不及，陆续发生追尾，形成多车连环碰撞事故。共涉及3辆车，无人员伤亡。
ACC-20260208-0067,山东省济宁市曲阜市曲阜市石门山镇G104国道闯红灯事故,闯红灯事故,山东省济宁市曲阜市曲阜市石门山镇G104国道,处理中,2026-02-08 11:10:17,中,陈志远,多云,景区周边道路，旅游车辆密集，路边临时停车多,凌晨5时许，在山东省济宁市曲阜市曲阜市石门山镇G104国道路口，公交车（A车，鲁H·H49238）违反交通信号灯指示闯红灯，与正常通行的面包车（B车，鲁H·A448XY）发生碰撞。事故造成右侧车门凹陷。
ACC-20260209-0080,山东省济宁市曲阜市曲阜市鲁城街道仓巷街隧道事故,隧道事故,山东省济宁市曲阜市曲阜市鲁城街道仓巷街,待分析,2026-02-09 09:29:05,高,,晴,桥梁路段，双向两车道，冬季易结冰,下午2时50分许，在山东省济宁市曲阜市曲阜市鲁城街道仓巷街，小型轿车（A车，鲁H·P220BG）进入隧道时因光线变化未能及时适应，追尾前方摩托车（B车，鲁H·C54755）。事故造成两车受损。
ACC-20260211-0041,陕西省延安市安塞区安塞区王家湾乡山路弯道追尾事故,追尾事故,陕西省延安市安塞区安塞区王家湾乡山路弯道,待分析,2026-02-11 13:49:57,中,,晴,隧道入口段，照明过渡，限速40km/h,下午2时许，在陕西省延安市安塞区安塞区王家湾乡山路弯道，出租车（A车，陕J·A211MJ）沿道路正常行驶，电动自行车（B车，陕J·P261BC）因灯光使用不当未能保持安全距离，追尾碰撞出租车（A车，陕J·A211MJ）尾部。事故造成两车不同程度受损，驾驶员受轻微擦伤。
ACC-20260212-0066,山东省济宁市曲阜市曲阜市吴村镇中心街十字路口匝道事故,匝道事故,山东省济宁市曲阜市曲阜市吴村镇中心街十字路口,处理中,2026-02-12 17:31:14,中,王守义,晴,桥梁路段，双向两车道，冬季易结冰,下午1时15分许，在山东省济宁市曲阜市曲阜市吴村镇中心街十字路口，货车（A车，鲁H·D707EK）驶出匝道时速度过快，与匝道口的防护栏发生碰撞。事故造成车辆受损。
ACC-20260213-0103,山东省济宁市曲阜市曲阜市息陬镇孔子大道辅路多车连环碰撞,多车连环碰撞,山东省济宁市曲阜市曲阜市息陬镇孔子大道辅路,待处理,2026-02-13 12:10:46,中,,晴,景区周边道路，旅游车辆密集，路边临时停车多,下午2时许，在山东省济宁市曲阜市曲阜市息陬镇孔子大道辅路，因未观察后方来车，电动自行车（A车，鲁H·B801GS）首先与出租车（B车，鲁H·E138YS）发生碰撞，后方电动自行车（C车，鲁H·D98379）等车辆避让不及，陆续发生追尾，形成多车连环碰撞事故。共涉及5辆车，无人员伤亡。
ACC-20260214-0042,陕西省延安市安塞区安塞区化子坪镇幼儿园路段倒车碰撞,倒车碰撞,陕西省延安市安塞区安塞区化子坪镇幼儿园路段,处理中,2026-02-14 13:53:13,低,赵文博,中雨,省道三级公路，路面宽7米，夜间照明不足,夜间23时许，在陕西省延安市安塞区安塞区化子坪镇幼儿园路段，出租车（A车，陕J·K365EQ）在倒车时未注意观察后方，与停放的公交车（B车，陕J·W620LV）发生碰撞。事故造成公交车（B车，陕J·W620LV）车身受损。
ACC-20260215-0052,陕西省延安市安塞区安塞区镰刀湾乡三岔路口多车连环碰撞,多车连环碰撞,陕西省延安市安塞区安塞区镰刀湾乡三岔路口,待分析,2026-02-15 23:59:08,中,,晴,乡镇街道，混合交通，无隔离设施,下午2时许，在陕西省延安市安塞区安塞区镰刀湾乡三岔路口，因未观察后方来车，面包车（A车，陕J·K932YE）首先与面包车（B车，陕J·V58859）发生碰撞，后方货车（C车，陕J·P12951）等车辆避让不及，陆续发生追尾，形成多车连环碰撞事故。共涉及4辆车，驾驶员受轻伤已送医。
ACC-20260217-0100,山东省济宁市曲阜市曲阜市时庄街道开发区主干道酒驾事故,酒驾事故,山东省济宁市曲阜市曲阜市时庄街道开发区主干道,待分析,2026-02-17 21:35:29,中,,晴,桥梁路段，双向两车道，冬季易结冰,上午8时30分许，在山东省济宁市曲阜市曲阜市时庄街道开发区主干道，货车（A车，鲁H·M38444）驾驶员涉嫌酒后驾驶，车辆失控与面包车（B车，鲁H·P91108）发生碰撞。经检测货车（A车，鲁H·M38444）驾驶员血液酒精含量超标。事故造成右侧车门凹陷。
ACC-20260218-0082,山东省济宁市曲阜市曲阜市王庄镇G327国道K578段疲劳驾驶事故,疲劳驾驶事故,山东省济宁市曲阜市曲阜市王庄镇G327国道K578段,处理中,2026-02-18 07:52:58,中,赵文博,小雨,环城路，双向四车道，夜间货车多,下午1时15分许，在山东省济宁市曲阜市曲阜市王庄镇G327国道K578段，面包车（A车，鲁H·F270RQ）驾驶员因长时间驾驶疲劳，车辆偏离车道撞向电线杆。事故造成车辆车头严重变形。
ACC-20260218-0099,山东省济宁市曲阜市曲阜市小雪街道高铁东路段爆胎失控,爆胎失控,山东省济宁市曲阜市曲阜市小雪街道高铁东路段,处理中,2026-02-18 12:30:26,中,陈志远,霾,学校路段，限速30km/h，有减速带,下午2时50分许，在山东省济宁市曲阜市曲阜市小雪街道高铁东路段，电动自行车（A车，鲁H·V778KN）行驶途中右前轮突然爆胎，车辆失控撞向施工围挡。事故造成车辆前保险杠脱落。
ACC-20260218-0094,山东省济宁市曲阜市曲阜市静轩东路商业街口非机动车碰撞,非机动车碰撞,山东省济宁市曲阜市曲阜市静轩东路商业街口,待处理,2026-02-18 16:56:02,中,,多云,学校路段，限速30km/h，有减速带,夜间23时许，在山东省济宁市曲阜市曲阜市静轩东路商业街口，小型轿车（A车，鲁H·C963YM）与电动自行车（B车，鲁H·X507GG）在混合车道内行驶时，因刹车失灵发生碰撞。事故造成受伤倒地。
ACC-20260218-0060,山东省济宁市曲阜市曲阜市王庄镇G327国道K578段匝道事故,匝道事故,山东省济宁市曲阜市曲阜市王庄镇G327国道K578段,已完成,2026-02-18 18:22:26,中,王守义,霾,学校路段，限速30km/h，有减速带,中午11时许，在山东省济宁市曲阜市曲阜市王庄镇G327国道K578段，面包车（A车，鲁H·B81888）驶出匝道时速度过快，与匝道口的防护栏发生碰撞。事故造成车辆受损。
ACC-20260220-0011,陕西省延安市安塞区安塞区建华镇G210国道隧道口多车连环碰撞,多车连环碰撞,陕西省延安市安塞区安塞区建华镇G210国道隧道口,已完成,2026-02-20 17:10:51,中,赵文博,霾,乡镇街道，混合交通，无隔离设施,下午1时15分许，在陕西省延安市安塞区安塞区建华镇G210国道隧道口，因判断失误，货车（A车，陕J·E53014）首先与SUV（B车，陕J·B37593）发生碰撞，后方货车（C车，陕J·N85291）等车辆避让不及，陆续发生追尾，形成多车连环碰撞事故。共涉及5辆车，造成1人轻伤。
