规则ID,规则名称,事故类型,适用场景,状态
R-044,开门未观察后方,刮擦事故,路边停车,启用
R-045,未打转向灯,变道事故,车道变更,启用
R-046,机动车占用非机动车道,一般事故,城市道路,启用
R-047,变道未让行,变道事故,变道过程,启用
R-048,疲劳驾驶,一般事故,长时间驾驶,启用
R-049,行人闯红灯,行人事故,城市路口,启用
R-050,酒后驾驶,重大事故,夜间道路,启用
R-051,未按导向车道行驶,路口事故,多车道路口,启用
R-052,逆行,一般事故,单行道,启用
R-053,疲劳驾驶,一般事故,长时间驾驶,启用
R-054,后车未保持安全距离,追尾事故,同向行驶,启用
R-055,违规停车,刮擦事故,路边停车区域,启用
R-056,闯红灯,路口事故,信号灯路口,启用
R-057,未打转向灯,变道事故,车道变更,启用
R-058,未礼让行人,行人事故,人行横道,启用
R-059,非机动车逆行,非机动车事故,非机动车道,启用
R-060,未按导向车道行驶,路口事故,多车道路口,启用
R-061,开门未观察后方,刮擦事故,路边停车,启用
R-062,未按导向车道行驶,路口事故,多车道路口,启用
R-063,超速行驶,一般事故,城市快速路,启用
R-064,疲劳驾驶,一般事故,长时间驾驶,启用
R-065,非机动车逆行,非机动车事故,非机动车道,启用
R-066,未按导向车道行驶,路口事故,多车道路口,启用
R-067,非机动车逆行,非机动车事故,非机动车道,启用
R-068,开门未观察后方,刮擦事故,路边停车,启用
R-069,闯红灯,路口事故,信号灯路口,启用
R-070,未按规定让行,路口事故,无信号灯路口,启用
R-071,变道未让行,变道事故,变道过程,启用
R-072,违法超车,碰撞事故,双向车道,启用
R-073,行人闯红灯,行人事故,城市路口,启用
R-074,未按导向车道行驶,路口事故,多车道路口,启用
R-075,违规停车,刮擦事故,路边停车区域,启用
R-076,未按导向车道行驶,路口事故,多车道路口,启用
R-077,后车未保持安全距离,追尾事故,同向行驶,启用
R-078,占用应急车道,一般事故,高速公路,启用
R-079,后车未保持安全距离,追尾事故,同向行驶,启用
R-080,压实线变道,变道事故,道路实线区域,启用
R-081,超速行驶,一般事故,城市快速路,启用
R-082,疲劳驾驶,一般事故,长时间驾驶,启用
R-083,未打转向灯,变道事故,车道变更,启用
R-084,超速行驶,一般事故,城市快速路,启用
R-085,机动车占用非机动车道,一般事故,城市道路,启用
R-086,未按导向车道行驶,路口事故,多车道路口,启用
R-087,占用应急车道,一般事故,高速公路,启用
R-088,超速行驶,一般事故,城市快速路,启用
R-089,行人闯红灯,行人事故,城市路口,启用
R-090,逆行,一般事故,单行道,启用
R-091,违法掉头,路口事故,禁止掉头路段,启用
R-092,逆行,一般事故,单行道,启用
R-093,违法超车,碰撞事故,双向车道,启用
R-094,疲劳驾驶,一般事故,长时间驾驶,启用
R-095,未礼让行人,行人事故,人行横道,启用
R-096,占用应急车道,一般事故,高速公路,启用
R-097,未按导向车道行驶,路口事故,多车道路口,启用
R-098,超速行驶,一般事故,城市快速路,启用
R-099,未按导向车道行驶,路口事故,多车道路口,启用
R-100,后车未保持安全距离,追尾事故,同向行驶,启用
R-101,夜间未开灯,一般事故,夜间道路,启用
R-102,夜间未开灯,一般事故,夜间道路,启用
R-103,未打转向灯,变道事故,车道变更,启用
R-104,压实线变道,变道事故,道路实线区域,启用
R-105,违法掉头,路口事故,禁止掉头路段,启用
R-106,违规停车,刮擦事故,路边停车区域,启用
R-107,机动车占用非机动车道,一般事故,城市道路,启用
R-108,违规并线,变道事故,高峰车流,启用
R-109,违规并线,变道事故,高峰车流,启用
R-110,机动车占用非机动车道,一般事故,城市道路,启用
R-111,逆行,一般事故,单行道,启用
R-112,行人闯红灯,行人事故,城市路口,启用
R-113,未礼让行人,行人事故,人行横道,启用
R-114,机动车占用非机动车道,一般事故,城市道路,启用
R-115,违规并线,变道事故,高峰车流,启用
R-116,违规并线,变道事故,高峰车流,启用
R-117,夜间未开灯,一般事故,夜间道路,启用
R-118,压实线变道,变道事故,道路实线区域,启用
R-119,非机动车逆行,非机动车事故,非机动车道,启用
R-120,未礼让行人,行人事故,人行横道,启用
R-121,违规并线,变道事故,高峰车流,启用
R-122,后车未保持安全距离,追尾事故,同向行驶,启用
R-123,超速行驶,一般事故,城市快速路,启用
R-124,压实线变道,变道事故,道路实线区域,启用
R-125,未打转向灯,变道事故,车道变更,启用
R-126,雨天未减速,追尾事故,雨天道路,启用
R-127,后车未保持安全距离,追尾事故,同向行驶,启用
R-128,未按导向车道行驶,路口事故,多车道路口,启用
R-129,闯红灯,路口事故,信号灯路口,启用
R-130,违规停车,刮擦事故,路边停车区域,启用
R-131,夜间未开灯,一般事故,夜间道路,启用
R-132,压实线变道,变道事故,道路实线区域,启用
R-133,违法掉头,路口事故,禁止掉头路段,启用
R-134,高速出口急刹,追尾事故,高速出口,启用
R-135,未打转向灯,变道事故,车道变更,启用
R-136,压实线变道,变道事故,道路实线区域,启用
R-137,违法掉头,路口事故,禁止掉头路段,启用
R-138,违法超车,碰撞事故,双向车道,启用
R-139,违规停车,刮擦事故,路边停车区域,启用
R-140,后车未保持安全距离,追尾事故,同向行驶,启用
R-141,违规并线,变道事故,高峰车流,启用
R-142,高速出口急刹,追尾事故,高速出口,启用
R-143,未打转向灯,变道事故,车道变更,启用
R-144,违规并线,变道事故,高峰车流,启用
R-145,未按导向车道行驶,路口事故,多车道路口,启用
R-146,酒后驾驶,重大事故,夜间道路,启用
R-147,未礼让行人,行人事故,人行横道,启用
R-148,占用应急车道,一般事故,高速公路,启用
R-149,行人闯红灯,行人事故,城市路口,启用
R-150,未按导向车道行驶,路口事故,多车道路口,启用
R-151,雨天未减速,追尾事故,雨天道路,启用
R-152,占用应急车道,一般事故,高速公路,启用
R-153,违法超车,碰撞事故,双向车道,启用
R-154,行人闯红灯,行人事故,城市路口,启用
R-155,夜间未开灯,一般事故,夜间道路,启用
R-156,违法掉头,路口事故,禁止掉头路段,启用
R-157,占用应急车道,一般事故,高速公路,启用
R-158,疲劳驾驶,一般事故,长时间驾驶,启用
R-159,未打转向灯,变道事故,车道变更,启用
R-160,未观察盲区,碰撞事故,转弯路口,启用
R-161,夜间未开灯,一般事故,夜间道路,启用
R-162,压实线变道,变道事故,道路实线区域,启用
R-163,后车未保持安全距离,追尾事故,同向行驶,启用
R-164,超速行驶,一般事故,城市快速路,启用
R-165,未按导向车道行驶,路口事故,多车道路口,启用
R-166,占用应急车道,一般事故,高速公路,启用
R-167,未观察盲区,碰撞事故,转弯路口,启用
R-168,未礼让行人,行人事故,人行横道,启用
R-169,逆行,一般事故,单行道,启用
R-170,违规停车,刮擦事故,路边停车区域,启用
